Country,StudioNetwork,MediaId,Title,OriginalReleaseDate,MediaType,SeriesMediaId,SeasonMediaId,SeriesTitle,SeasonNumber,EpisodeNumber,LicenseType,ActualRetailPrice,OfferStartDate,OfferEndDate,Actors,Director,XboxLiveURL
UNITED STATES,,531b964f-0cb9-4968-9b77-e547f2435225,Zoey 101: Peeps at PCA,1/23/2012 12:00:00 AM,TvSeason,c3eddf64-372f-4dfc-a763-2681cce65ac2,,Zoey 101: Peeps at PCA,1,,EST HD,12.99,1/30/2012 8:01:00 AM,1/1/3000 8:01:00 AM,,,https://video.xbox.com/tv-season/531b964f-0cb9-4968-9b77-e547f2435225
UNITED STATES,,531b964f-0cb9-4968-9b77-e547f2435225,Zoey 101: Peeps at PCA,1/23/2012 12:00:00 AM,TvSeason,c3eddf64-372f-4dfc-a763-2681cce65ac2,,Zoey 101: Peeps at PCA,1,,EST SD,8.99,1/30/2012 8:01:00 AM,1/1/3000 8:01:00 AM,,,https://video.xbox.com/tv-season/531b964f-0cb9-4968-9b77-e547f2435225
UNITED STATES,,8d148245-1948-4c5f-8758-45973ba9be72,Zoey 101,9/10/2005 12:00:00 AM,TvSeason,ee06dead-b9eb-4061-9481-ea0cebf17a93,,Zoey 101,2,,EST SD,13.99,1/21/2010 8:01:00 AM,1/1/3000 12:00:00 AM,,,https://video.xbox.com/tv-season/8d148245-1948-4c5f-8758-45973ba9be72
UNITED STATES,,28e76553-2f87-41ca-95fb-1330b9685d3b,Zoey 101,9/24/2006 12:00:00 AM,TvSeason,ee06dead-b9eb-4061-9481-ea0cebf17a93,,Zoey 101,3,,EST SD,13.99,1/21/2010 8:01:00 AM,1/1/3000 12:00:00 AM,,,https://video.xbox.com/tv-season/28e76553-2f87-41ca-95fb-1330b9685d3b
UNITED STATES,,9ea22b7a-8ba6-42c8-943a-5721777f75d8,Zoey 101,1/27/2008 12:00:00 AM,TvSeason,ee06dead-b9eb-4061-9481-ea0cebf17a93,,Zoey 101,4,,EST SD,13.99,1/21/2010 8:01:00 AM,1/1/3000 12:00:00 AM,,,https://video.xbox.com/tv-season/9ea22b7a-8ba6-42c8-943a-5721777f75d8
UNITED STATES,,53285be3-5ec8-4309-8f38-81fbe9f95af6,Zoey 101,1/9/2005 12:00:00 AM,TvSeason,ee06dead-b9eb-4061-9481-ea0cebf17a93,,Zoey 101,1,,EST SD,13.99,10/12/2010 7:01:00 AM,1/1/3000 12:00:00 AM,,,https://video.xbox.com/tv-season/53285be3-5ec8-4309-8f38-81fbe9f95af6
UNITED STATES,,c2f8dfcd-2014-44f2-a5b9-8ab5830589ba,ZingZillas,4/5/2010 12:00:00 AM,TvSeason,69954bf2-64ae-4d9d-8efb-296f954c3e78,,ZingZillas,101,,EST SD,12.99,4/9/2013 7:01:00 AM,1/1/3000 12:00:00 AM,,,https://video.xbox.com/tv-season/c2f8dfcd-2014-44f2-a5b9-8ab5830589ba
UNITED STATES,,b7db2e4e-942a-4a10-bf96-6a35b8d57ace,Zetman - The Complete Series,4/2/2012 12:00:00 AM,TvSeason,07374e1b-519f-4f2c-8bba-321b8c01a5f2,,Zetman - The Complete Series,1,,EST HD,28.99,11/5/2013 8:01:00 AM,1/1/3000 12:00:00 AM,,,https://video.xbox.com/tv-season/b7db2e4e-942a-4a10-bf96-6a35b8d57ace
UNITED STATES,,b7db2e4e-942a-4a10-bf96-6a35b8d57ace,Zetman - The Complete Series,4/2/2012 12:00:00 AM,TvSeason,07374e1b-519f-4f2c-8bba-321b8c01a5f2,,Zetman - The Complete Series,1,,EST SD,19.99,11/5/2013 8:01:00 AM,1/1/3000 12:00:00 AM,,,https://video.xbox.com/tv-season/b7db2e4e-942a-4a10-bf96-6a35b8d57ace
UNITED STATES,,4d95bf3f-20dd-4ccc-ba3e-1d04a15c6f08,Zero Hour,2/14/2013 12:00:00 AM,TvSeason,7ed49421-7770-4517-8ea2-b87e5ca266eb,,Zero Hour,1,,EST HD,24.99,2/15/2013 8:01:00 AM,1/1/3000 12:00:00 AM,,,https://video.xbox.com/tv-season/4d95bf3f-20dd-4ccc-ba3e-1d04a15c6f08
